Category,Subcategory,Journal,Journal_cleaned,Subcategory_cleaned,Category_cleaned
"Business, Economics & Management",Emergency Management,Geomatics Natural Hazards and Risk,geomaticsnaturalhazardsandrisk,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Earthquake Spectra,earthquakespectra,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Journal of Flood Risk Management,journaloffloodriskmanagement,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Progress in Disaster Science,progressindisasterscience,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,International Journal of Disaster Risk Science,internationaljournalofdisasterriskscience,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Journal of Contingencies and Crisis Management,journalofcontingenciesandcrisismanagement,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Disasters,disasters,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Journal of Humanitarian Logistics and Supply Chain Management,journalofhumanitarianlogisticsandsupplychainmanagement,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Natural Hazards Review,naturalhazardsreview,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Geoenvironmental Disasters,geoenvironmentaldisasters,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Jàmbá: Journal of Disaster Risk Studies,jmbjournalofdisasterriskstudies,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Environmental Hazards,environmentalhazards,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards,georiskassessmentandmanagementofriskforengineeredsystemsandgeohazards,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Disaster Prevention and Management: An International Journal,disasterpreventionandmanagementaninternationaljournal,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Economics of Disasters and Climate Change,economicsofdisastersandclimatechange,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Emergency Management,Risks Hazards & Crisis in Public Policy,riskshazardscrisisinpublicpolicy,emergencymanagement,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Research Policy,researchpolicy,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Small Business Economics,smallbusinesseconomics,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of Open Innovation: Technology Market and Complexity,journalofopeninnovationtechnologymarketandcomplexity,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of Innovation & Knowledge,journalofinnovationknowledge,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Entrepreneurship Theory and Practice,entrepreneurshiptheoryandpractice,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of Business Venturing,journalofbusinessventuring,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Technovation,technovation,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of Small Business Management,journalofsmallbusinessmanagement,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,European Journal of Innovation Management,europeanjournalofinnovationmanagement,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,International Journal of Entrepreneurial Behavior & Research,internationaljournalofentrepreneurialbehaviorresearch,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,International Entrepreneurship and Management Journal,internationalentrepreneurshipandmanagementjournal,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of Intellectual Capital,journalofintellectualcapital,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,The Journal of Technology Transfer,thejournaloftechnologytransfer,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of the Knowledge Economy,journaloftheknowledgeeconomy,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Technology Analysis & Strategic Management,technologyanalysisstrategicmanagement,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,The Journal of product innovation management,thejournalofproductinnovationmanagement,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Entrepreneurship & Regional Development,entrepreneurshipregionaldevelopment,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,RandD Management,randdmanagement,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,International Small Business Journal,internationalsmallbusinessjournal,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Entrepreneurship & Innovation,Journal of Business Venturing Insights,journalofbusinessventuringinsights,entrepreneurshipinnovation,businesseconomicsmanagement
"Business, Economics & Management",Finance,Finance Research Letters,financeresearchletters,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of Financial Economics,journaloffinancialeconomics,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,The Review of Financial Studies,thereviewoffinancialstudies,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,The Journal of Finance,thejournaloffinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,International Review of Financial Analysis,internationalreviewoffinancialanalysis,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of Corporate Finance,journalofcorporatefinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Research in International Business and Finance,researchininternationalbusinessandfinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of Risk and Financial Management,journalofriskandfinancialmanagement,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of Banking & Finance,journalofbankingfinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,International Review of Economics & Finance,internationalreviewofeconomicsfinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of Financial and Quantitative Analysis,journaloffinancialandquantitativeanalysis,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Emerging Markets Finance and Trade,emergingmarketsfinanceandtrade,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Pacific-Basin Finance Journal,pacificbasinfinancejournal,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Review of Finance,reviewoffinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,International Journal of Finance & Economics,internationaljournaloffinanceeconomics,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of Accounting and Economics,journalofaccountingandeconomics,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Journal of International Financial Markets Institutions and Money,journalofinternationalfinancialmarketsinstitutionsandmoney,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Review of Accounting Studies,reviewofaccountingstudies,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,The Quarterly Review of Economics and Finance,thequarterlyreviewofeconomicsandfinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Finance,Accounting & Finance,accountingfinance,finance,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Journal of Economic Behavior andamp; Organization,journalofeconomicbehaviorandamporganization,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Organizational Behavior and Human Decision Processes,organizationalbehaviorandhumandecisionprocesses,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,ACM Conference on Economics and Computation,acmconferenceoneconomicsandcomputation,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Journal of Economic Psychology,journalofeconomicpsychology,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Decision Sciences,decisionsciences,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Games and Economic Behavior,gamesandeconomicbehavior,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Journal of Behavioral and Experimental Economics,journalofbehavioralandexperimentaleconomics,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Experimental Economics,experimentaleconomics,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Theoretical Economics,theoreticaleconomics,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Simulation & Gaming,simulationgaming,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Group Decision and Negotiation,groupdecisionandnegotiation,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Journal of Artificial Societies and Social Simulation,journalofartificialsocietiesandsocialsimulation,gametheoryanddecisionscience,businesseconomicsmanagement
"Business, Economics & Management",Game Theory and Decision Science,Journal of Risk and Uncertainty,journalofriskanduncertainty,gametheoryanddecisionscience,businesseconomicsmanagement
